"source_table","classification","approved_target","migration","backend_module","notes"
"dashboard_interactions","P1_PRODUCTION_EXTENSION","dashboard_interactions","future_p1","dashboards","Production extension without a required current UI workflow."
"dashboard_drilldown_paths","P1_PRODUCTION_EXTENSION","dashboard_drilldown_paths","future_p1","dashboards","Production extension without a required current UI workflow."
"saved_views","P0_CORE","saved_views","0001_core","dashboards","Required by current frontend behavior or production boundary."
"saved_view_filters","P2_ENTERPRISE_FUTURE","saved_view_filters","","dashboards","No current product workflow justifies production service/API complexity."
"chart_types","P0_CORE","chart_types","0001_core","charts","Required by current frontend behavior or production boundary."
"chart_type_requirements","P0_CORE","chart_type_requirements","0001_core","charts","Required by current frontend behavior or production boundary."
"chart_templates","P0_CORE","chart_templates","0001_core","charts","Required by current frontend behavior or production boundary."
"chart_template_mappings","REJECTED_OR_MERGED","chart_templates.default_mapping_json","","charts","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_presets","P1_PRODUCTION_EXTENSION","chart_presets","future_p1","charts","Production extension without a required current UI workflow."
"chart_theme_presets","P1_PRODUCTION_EXTENSION","chart_theme_presets","future_p1","charts","Production extension without a required current UI workflow."
"charts","P0_CORE","charts","0001_core","charts","Required by current frontend behavior or production boundary."
"chart_versions","P0_CORE","chart_versions","0001_core","charts","Required by current frontend behavior or production boundary."
"chart_field_mappings","REJECTED_OR_MERGED","charts.mapping_json","","charts","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_settings","REJECTED_OR_MERGED","charts.settings_json","","charts","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_filters","REJECTED_OR_MERGED","charts.filters_json","","charts","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_query_bindings","REJECTED_OR_MERGED","charts.query_definition_json","","charts","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_analytics_overlays","P1_PRODUCTION_EXTENSION","chart_analytics_overlays","future_p1","charts","Production extension without a required current UI workflow."
"data_source_types","P0_CORE","data_source_types","0001_core","connections","Required by current frontend behavior or production boundary."
"data_source_connections","P0_CORE","data_source_connections","0001_core","connections","Required by current frontend behavior or production boundary."
"data_source_connection_options","P1_PRODUCTION_EXTENSION","data_source_connection_options","future_p1","connections","Production extension without a required current UI workflow."
"data_source_secret_references","P0_CORE","data_source_secret_references","0001_core","connections","Required by current frontend behavior or production boundary."
"data_source_test_runs","P0_CORE","data_source_test_runs","0001_core","connections","Required by current frontend behavior or production boundary."
"data_source_schemas","P0_CORE","data_source_schemas","0001_core","connections","Required by current frontend behavior or production boundary."
"data_source_tables","P0_CORE","data_source_tables","0001_core","connections","Required by current frontend behavior or production boundary."
"data_source_columns","P0_CORE","data_source_columns","0001_core","connections","Required by current frontend behavior or production boundary."
"datasets","P0_CORE","datasets","0001_core","datasets","Required by current frontend behavior or production boundary."
"dataset_versions","P0_CORE","dataset_versions","0001_core","datasets","Required by current frontend behavior or production boundary."
"dataset_fields","P0_CORE","dataset_fields","0001_core","datasets","Required by current frontend behavior or production boundary."
"dataset_rows","P0_CORE","dataset_rows","0001_core","datasets","Required by current frontend behavior or production boundary."
"dataset_statistics","P0_CORE","dataset_statistics","0001_core","datasets","Required by current frontend behavior or production boundary."
"dataset_validation_results","P0_CORE","dataset_validation_results","0001_core","datasets","Required by current frontend behavior or production boundary."
"dataset_refresh_jobs","P1_PRODUCTION_EXTENSION","dataset_refresh_jobs","future_p1","datasets","Production extension without a required current UI workflow."
"dataset_lineage","P1_PRODUCTION_EXTENSION","dataset_lineage","future_p1","datasets","Production extension without a required current UI workflow."
"import_jobs","P0_CORE","import_jobs","0001_core","datasets","Required by current frontend behavior or production boundary."
"import_job_rows","P0_CORE","import_job_rows","0001_core","datasets","Required by current frontend behavior or production boundary."
"import_errors","P0_CORE","import_errors","0001_core","datasets","Required by current frontend behavior or production boundary."
"sql_queries","P0_CORE","sql_queries","0001_core","queries","Required by current frontend behavior or production boundary."
"sql_query_versions","P1_PRODUCTION_EXTENSION","sql_query_versions","future_p1","queries","Production extension without a required current UI workflow."
"sql_query_runs","P0_CORE","sql_query_runs","0001_core","queries","Required by current frontend behavior or production boundary."
"sql_query_results","P0_CORE","sql_query_results","0001_core","queries","Required by current frontend behavior or production boundary."
"sql_query_result_columns","P0_CORE","sql_query_result_columns","0001_core","queries","Required by current frontend behavior or production boundary."
"sql_query_result_rows","P0_CORE","sql_query_result_rows","0001_core","queries","Required by current frontend behavior or production boundary."
"sql_query_saved_parameters","P1_PRODUCTION_EXTENSION","sql_query_saved_parameters","future_p1","queries","Production extension without a required current UI workflow."
"dashboard_share_links","P0_CORE","dashboard_share_links","0001_core","dashboards","Required by current frontend behavior or production boundary."
"dashboard_share_snapshots","P0_CORE","dashboard_share_snapshots","0001_core","dashboards","Required by current frontend behavior or production boundary."
"dashboard_share_access_logs","P0_CORE","dashboard_share_access_logs","0001_core","dashboards","Required by current frontend behavior or production boundary."
"embed_settings","P0_CORE","embed_settings","0001_core","future-enterprise","Required by current frontend behavior or production boundary."
"export_jobs","P0_CORE","export_jobs","0001_core","exports-storage","Required by current frontend behavior or production boundary."
"export_files","P0_CORE","export_files","0001_core","exports-storage","Required by current frontend behavior or production boundary."
"chart_exports","P1_PRODUCTION_EXTENSION","chart_exports","future_p1","charts","Production extension without a required current UI workflow."
"dashboard_exports","P1_PRODUCTION_EXTENSION","dashboard_exports","future_p1","dashboards","Production extension without a required current UI workflow."
"report_definitions","P1_PRODUCTION_EXTENSION","report_definitions","future_p1","future-enterprise","Production extension without a required current UI workflow."
"report_parameters","P1_PRODUCTION_EXTENSION","report_parameters","future_p1","future-enterprise","Production extension without a required current UI workflow."
"report_runs","P1_PRODUCTION_EXTENSION","report_runs","future_p1","future-enterprise","Production extension without a required current UI workflow."
"report_exports","P1_PRODUCTION_EXTENSION","report_exports","future_p1","future-enterprise","Production extension without a required current UI workflow."
"user_preferences","P0_CORE","user_preferences","0001_core","auth-organizations","Required by current frontend behavior or production boundary."
"user_workspace_contexts","REJECTED_OR_MERGED","workspace_contexts","","auth-organizations","Avoid over-normalization while preserving the frontend aggregate contract."
"user_favorite_items","P2_ENTERPRISE_FUTURE","user_favorite_items","","auth-organizations","No current product workflow justifies production service/API complexity."
"navigation_history","P2_ENTERPRISE_FUTURE","navigation_history","","future-enterprise","No current product workflow justifies production service/API complexity."
"command_palette_actions","P2_ENTERPRISE_FUTURE","command_palette_actions","","future-enterprise","No current product workflow justifies production service/API complexity."
"comments","P2_ENTERPRISE_FUTURE","comments","","future-enterprise","No current product workflow justifies production service/API complexity."
"comment_mentions","P2_ENTERPRISE_FUTURE","comment_mentions","","future-enterprise","No current product workflow justifies production service/API complexity."
"notes","P2_ENTERPRISE_FUTURE","notes","","future-enterprise","No current product workflow justifies production service/API complexity."
"tags","P2_ENTERPRISE_FUTURE","tags","","future-enterprise","No current product workflow justifies production service/API complexity."
"tag_links","P2_ENTERPRISE_FUTURE","tag_links","","future-enterprise","No current product workflow justifies production service/API complexity."
"annotations","P2_ENTERPRISE_FUTURE","annotations","","future-enterprise","No current product workflow justifies production service/API complexity."
"approval_flows","P2_ENTERPRISE_FUTURE","approval_flows","","future-enterprise","No current product workflow justifies production service/API complexity."
"approval_flow_steps","P2_ENTERPRISE_FUTURE","approval_flow_steps","","future-enterprise","No current product workflow justifies production service/API complexity."
"approval_conditions","P2_ENTERPRISE_FUTURE","approval_conditions","","future-enterprise","No current product workflow justifies production service/API complexity."
"approval_requests","P2_ENTERPRISE_FUTURE","approval_requests","","future-enterprise","No current product workflow justifies production service/API complexity."
"approval_request_steps","P2_ENTERPRISE_FUTURE","approval_request_steps","","future-enterprise","No current product workflow justifies production service/API complexity."
"approval_actions","P2_ENTERPRISE_FUTURE","approval_actions","","future-enterprise","No current product workflow justifies production service/API complexity."
"approval_delegations","P2_ENTERPRISE_FUTURE","approval_delegations","","future-enterprise","No current product workflow justifies production service/API complexity."
"workflow_instances","P2_ENTERPRISE_FUTURE","workflow_instances","","future-enterprise","No current product workflow justifies production service/API complexity."
"workflow_history","P2_ENTERPRISE_FUTURE","workflow_history","","future-enterprise","No current product workflow justifies production service/API complexity."
"notification_channels","P2_ENTERPRISE_FUTURE","notification_channels","","future-enterprise","No current product workflow justifies production service/API complexity."
"notification_templates","P2_ENTERPRISE_FUTURE","notification_templates","","future-enterprise","No current product workflow justifies production service/API complexity."
"notifications","P2_ENTERPRISE_FUTURE","notifications","","future-enterprise","No current product workflow justifies production service/API complexity."
"notification_recipients","P2_ENTERPRISE_FUTURE","notification_recipients","","future-enterprise","No current product workflow justifies production service/API complexity."
"notification_reads","P2_ENTERPRISE_FUTURE","notification_reads","","future-enterprise","No current product workflow justifies production service/API complexity."
"notification_delivery_logs","P2_ENTERPRISE_FUTURE","notification_delivery_logs","","future-enterprise","No current product workflow justifies production service/API complexity."
"files","P0_CORE","files","0001_core","exports-storage","Required by current frontend behavior or production boundary."
"file_versions","P1_PRODUCTION_EXTENSION","file_versions","future_p1","exports-storage","Production extension without a required current UI workflow."
"file_links","P2_ENTERPRISE_FUTURE","file_links","","exports-storage","No current product workflow justifies production service/API complexity."
"document_types","P2_ENTERPRISE_FUTURE","document_types","","future-enterprise","No current product workflow justifies production service/API complexity."
"document_templates","P2_ENTERPRISE_FUTURE","document_templates","","future-enterprise","No current product workflow justifies production service/API complexity."
"document_sequences","P2_ENTERPRISE_FUTURE","document_sequences","","future-enterprise","No current product workflow justifies production service/API complexity."
"document_status_history","P2_ENTERPRISE_FUTURE","document_status_history","","future-enterprise","No current product workflow justifies production service/API complexity."
"activity_logs","REJECTED_OR_MERGED","audit_logs","","audit","Avoid over-normalization while preserving the frontend aggregate contract."
"audit_logs","P0_CORE","audit_logs","0001_core","audit","Required by current frontend behavior or production boundary."
"data_change_logs","REJECTED_OR_MERGED","audit_logs","","audit","Avoid over-normalization while preserving the frontend aggregate contract."
"error_logs","P0_CORE","error_logs","0001_core","audit","Required by current frontend behavior or production boundary."
"api_request_logs","P0_CORE","api_request_logs","0001_core","audit","Required by current frontend behavior or production boundary."
"integration_logs","REJECTED_OR_MERGED","audit_logs","","audit","Avoid over-normalization while preserving the frontend aggregate contract."
"retention_policies","P1_PRODUCTION_EXTENSION","retention_policies","future_p1","future-enterprise","Production extension without a required current UI workflow."
"demo_categories","SEED_OR_SAMPLE","demo_categories","","development-seed","Demo data must require an explicit development flag."
"demo_products","SEED_OR_SAMPLE","demo_products","","development-seed","Demo data must require an explicit development flag."
"demo_regions","SEED_OR_SAMPLE","demo_regions","","development-seed","Demo data must require an explicit development flag."
"demo_channels","SEED_OR_SAMPLE","demo_channels","","development-seed","Demo data must require an explicit development flag."
"demo_segments","SEED_OR_SAMPLE","demo_segments","","development-seed","Demo data must require an explicit development flag."
"demo_salespeople","SEED_OR_SAMPLE","demo_salespeople","","development-seed","Demo data must require an explicit development flag."
"demo_sales_fact_rows","SEED_OR_SAMPLE","demo_sales_fact_rows","","development-seed","Demo data must require an explicit development flag."
"data_quality_rules","P1_PRODUCTION_EXTENSION","data_quality_rules","future_p1","future-enterprise","Production extension without a required current UI workflow."
"data_quality_rule_assignments","P1_PRODUCTION_EXTENSION","data_quality_rule_assignments","future_p1","future-enterprise","Production extension without a required current UI workflow."
"data_quality_findings","P1_PRODUCTION_EXTENSION","data_quality_findings","future_p1","future-enterprise","Production extension without a required current UI workflow."
"sensitivity_labels","P1_PRODUCTION_EXTENSION","sensitivity_labels","future_p1","future-enterprise","Production extension without a required current UI workflow."
"sensitivity_label_assignments","P1_PRODUCTION_EXTENSION","sensitivity_label_assignments","future_p1","future-enterprise","Production extension without a required current UI workflow."
"asset_certifications","P1_PRODUCTION_EXTENSION","asset_certifications","future_p1","future-enterprise","Production extension without a required current UI workflow."
"api_clients","P2_ENTERPRISE_FUTURE","api_clients","","future-enterprise","No current product workflow justifies production service/API complexity."
"webhook_endpoints","P1_PRODUCTION_EXTENSION","webhook_endpoints","future_p1","future-enterprise","Production extension without a required current UI workflow."
"webhook_events","P1_PRODUCTION_EXTENSION","webhook_events","future_p1","future-enterprise","Production extension without a required current UI workflow."
"webhook_delivery_attempts","P1_PRODUCTION_EXTENSION","webhook_delivery_attempts","future_p1","future-enterprise","Production extension without a required current UI workflow."
