"table_name","module_id","module_name","classification","approval_status","priority","backend_module","migration_name","decision","reason"
"dashboard_widget_chart_links","MOD-04","Dashboard Canvas Builder","REJECTED_OR_MERGED","MERGED","merged","dashboards","","Merge into dashboard_widgets.chart_id","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_text_blocks","MOD-04","Dashboard Canvas Builder","REJECTED_OR_MERGED","MERGED","merged","dashboards","","Merge into dashboard_widgets.config_json","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_table_configs","MOD-04","Dashboard Canvas Builder","REJECTED_OR_MERGED","MERGED","merged","dashboards","","Merge into dashboard_widgets.config_json","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_filter_configs","MOD-04","Dashboard Canvas Builder","REJECTED_OR_MERGED","MERGED","merged","dashboards","","Merge into dashboard_widgets.config_json","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_image_assets","MOD-04","Dashboard Canvas Builder","REJECTED_OR_MERGED","MERGED","merged","dashboards","","Merge into dashboard_widgets.config_json + files","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_widget_actions","MOD-04","Dashboard Canvas Builder","REJECTED_OR_MERGED","MERGED","merged","dashboards","","Merge into dashboard_widgets.config_json","Avoid over-normalization while preserving the frontend aggregate contract."
"dashboard_templates","MOD-04","Dashboard Canvas Builder","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","dashboards","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dashboard_template_widgets","MOD-04","Dashboard Canvas Builder","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","dashboards","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dashboard_filter_presets","MOD-04","Dashboard Canvas Builder","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","dashboards","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dashboard_filter_values","MOD-04","Dashboard Canvas Builder","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","dashboards","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dashboard_interactions","MOD-04","Dashboard Canvas Builder","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","dashboards","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dashboard_drilldown_paths","MOD-04","Dashboard Canvas Builder","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","dashboards","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"saved_views","MOD-04","Dashboard Canvas Builder","P0_CORE","APPROVED","required","dashboards","0001_core","Implement now","Required by current frontend behavior or production boundary."
"saved_view_filters","MOD-04","Dashboard Canvas Builder","P2_ENTERPRISE_FUTURE","DEFERRED","future","dashboards","","Keep as future design only","No current product workflow justifies production service/API complexity."
"chart_types","MOD-05","Chart Designer & Visualization Library","P0_CORE","APPROVED","required","charts","0001_core","Implement now","Required by current frontend behavior or production boundary."
"chart_type_requirements","MOD-05","Chart Designer & Visualization Library","P0_CORE","APPROVED","required","charts","0001_core","Implement now","Required by current frontend behavior or production boundary."
"chart_templates","MOD-05","Chart Designer & Visualization Library","P0_CORE","APPROVED","required","charts","0001_core","Implement now","Required by current frontend behavior or production boundary."
"chart_template_mappings","MOD-05","Chart Designer & Visualization Library","REJECTED_OR_MERGED","MERGED","merged","charts","","Merge into chart_templates.default_mapping_json","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_presets","MOD-05","Chart Designer & Visualization Library","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","charts","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"chart_theme_presets","MOD-05","Chart Designer & Visualization Library","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","charts","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"charts","MOD-05","Chart Designer & Visualization Library","P0_CORE","APPROVED","required","charts","0001_core","Implement now","Required by current frontend behavior or production boundary."
"chart_versions","MOD-05","Chart Designer & Visualization Library","P0_CORE","APPROVED","required","charts","0001_core","Implement now","Required by current frontend behavior or production boundary."
"chart_field_mappings","MOD-05","Chart Designer & Visualization Library","REJECTED_OR_MERGED","MERGED","merged","charts","","Merge into charts.mapping_json","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_settings","MOD-05","Chart Designer & Visualization Library","REJECTED_OR_MERGED","MERGED","merged","charts","","Merge into charts.settings_json","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_filters","MOD-05","Chart Designer & Visualization Library","REJECTED_OR_MERGED","MERGED","merged","charts","","Merge into charts.filters_json","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_query_bindings","MOD-05","Chart Designer & Visualization Library","REJECTED_OR_MERGED","MERGED","merged","charts","","Merge into charts.query_definition_json","Avoid over-normalization while preserving the frontend aggregate contract."
"chart_analytics_overlays","MOD-05","Chart Designer & Visualization Library","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","charts","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"data_source_types","MOD-07","Data Source Connections & Metadata","P0_CORE","APPROVED","required","connections","0001_core","Implement now","Required by current frontend behavior or production boundary."
"data_source_connections","MOD-07","Data Source Connections & Metadata","P0_CORE","APPROVED","required","connections","0001_core","Implement now","Required by current frontend behavior or production boundary."
"data_source_connection_options","MOD-07","Data Source Connections & Metadata","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","connections","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"data_source_secret_references","MOD-07","Data Source Connections & Metadata","P0_CORE","APPROVED","required","connections","0001_core","Implement now","Required by current frontend behavior or production boundary."
"data_source_test_runs","MOD-07","Data Source Connections & Metadata","P0_CORE","APPROVED","required","connections","0001_core","Implement now","Required by current frontend behavior or production boundary."
"data_source_schemas","MOD-07","Data Source Connections & Metadata","P0_CORE","APPROVED","required","connections","0001_core","Implement now","Required by current frontend behavior or production boundary."
"data_source_tables","MOD-07","Data Source Connections & Metadata","P0_CORE","APPROVED","required","connections","0001_core","Implement now","Required by current frontend behavior or production boundary."
"data_source_columns","MOD-07","Data Source Connections & Metadata","P0_CORE","APPROVED","required","connections","0001_core","Implement now","Required by current frontend behavior or production boundary."
"datasets","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dataset_versions","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dataset_fields","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dataset_rows","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dataset_statistics","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dataset_validation_results","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dataset_refresh_jobs","MOD-06","Dataset Catalog, CSV Import & Validation","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","datasets","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dataset_lineage","MOD-06","Dataset Catalog, CSV Import & Validation","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","datasets","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"import_jobs","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"import_job_rows","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"import_errors","MOD-06","Dataset Catalog, CSV Import & Validation","P0_CORE","APPROVED","required","datasets","0001_core","Implement now","Required by current frontend behavior or production boundary."
"sql_queries","MOD-08","SQL Query Engine & Result Cache","P0_CORE","APPROVED","required","queries","0001_core","Implement now","Required by current frontend behavior or production boundary."
"sql_query_versions","MOD-08","SQL Query Engine & Result Cache","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","queries","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"sql_query_runs","MOD-08","SQL Query Engine & Result Cache","P0_CORE","APPROVED","required","queries","0001_core","Implement now","Required by current frontend behavior or production boundary."
"sql_query_results","MOD-08","SQL Query Engine & Result Cache","P0_CORE","APPROVED","required","queries","0001_core","Implement now","Required by current frontend behavior or production boundary."
"sql_query_result_columns","MOD-08","SQL Query Engine & Result Cache","P0_CORE","APPROVED","required","queries","0001_core","Implement now","Required by current frontend behavior or production boundary."
"sql_query_result_rows","MOD-08","SQL Query Engine & Result Cache","P0_CORE","APPROVED","required","queries","0001_core","Implement now","Required by current frontend behavior or production boundary."
"sql_query_saved_parameters","MOD-08","SQL Query Engine & Result Cache","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","queries","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dashboard_share_links","MOD-09","Sharing, Embed & Public Views","P0_CORE","APPROVED","required","dashboards","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dashboard_share_snapshots","MOD-09","Sharing, Embed & Public Views","P0_CORE","APPROVED","required","dashboards","0001_core","Implement now","Required by current frontend behavior or production boundary."
"dashboard_share_access_logs","MOD-09","Sharing, Embed & Public Views","P0_CORE","APPROVED","required","dashboards","0001_core","Implement now","Required by current frontend behavior or production boundary."
"embed_settings","MOD-09","Sharing, Embed & Public Views","P0_CORE","APPROVED","required","future-enterprise","0001_core","Implement now","Required by current frontend behavior or production boundary."
"export_jobs","MOD-10","Export, Reporting & Scheduled Outputs","P0_CORE","APPROVED","required","exports-storage","0001_core","Implement now","Required by current frontend behavior or production boundary."
"export_files","MOD-10","Export, Reporting & Scheduled Outputs","P0_CORE","APPROVED","required","exports-storage","0001_core","Implement now","Required by current frontend behavior or production boundary."
"chart_exports","MOD-10","Export, Reporting & Scheduled Outputs","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","charts","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"dashboard_exports","MOD-10","Export, Reporting & Scheduled Outputs","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","dashboards","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"report_definitions","MOD-10","Export, Reporting & Scheduled Outputs","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"report_parameters","MOD-10","Export, Reporting & Scheduled Outputs","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"report_runs","MOD-10","Export, Reporting & Scheduled Outputs","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"report_exports","MOD-10","Export, Reporting & Scheduled Outputs","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"user_preferences","MOD-11","Personal Settings & UX Preferences","P0_CORE","APPROVED","required","auth-organizations","0001_core","Implement now","Required by current frontend behavior or production boundary."
"user_workspace_contexts","MOD-11","Personal Settings & UX Preferences","REJECTED_OR_MERGED","MERGED","merged","auth-organizations","","Merge into workspace_contexts","Avoid over-normalization while preserving the frontend aggregate contract."
"user_favorite_items","MOD-11","Personal Settings & UX Preferences","P2_ENTERPRISE_FUTURE","DEFERRED","future","auth-organizations","","Keep as future design only","No current product workflow justifies production service/API complexity."
"navigation_history","MOD-11","Personal Settings & UX Preferences","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"command_palette_actions","MOD-11","Personal Settings & UX Preferences","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"comments","MOD-12","Collaboration, Comments & Tags","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"comment_mentions","MOD-12","Collaboration, Comments & Tags","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"notes","MOD-12","Collaboration, Comments & Tags","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"tags","MOD-12","Collaboration, Comments & Tags","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"tag_links","MOD-12","Collaboration, Comments & Tags","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"annotations","MOD-12","Collaboration, Comments & Tags","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"approval_flows","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"approval_flow_steps","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"approval_conditions","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"approval_requests","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"approval_request_steps","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"approval_actions","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"approval_delegations","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"workflow_instances","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"workflow_history","MOD-13","Workflow & Approval","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"notification_channels","MOD-14","Notifications & Delivery Logs","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"notification_templates","MOD-14","Notifications & Delivery Logs","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"notifications","MOD-14","Notifications & Delivery Logs","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"notification_recipients","MOD-14","Notifications & Delivery Logs","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"notification_reads","MOD-14","Notifications & Delivery Logs","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"notification_delivery_logs","MOD-14","Notifications & Delivery Logs","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"files","MOD-15","Files, Documents & Attachments","P0_CORE","APPROVED","required","exports-storage","0001_core","Implement now","Required by current frontend behavior or production boundary."
"file_versions","MOD-15","Files, Documents & Attachments","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","exports-storage","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"file_links","MOD-15","Files, Documents & Attachments","P2_ENTERPRISE_FUTURE","DEFERRED","future","exports-storage","","Keep as future design only","No current product workflow justifies production service/API complexity."
"document_types","MOD-15","Files, Documents & Attachments","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"document_templates","MOD-15","Files, Documents & Attachments","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"document_sequences","MOD-15","Files, Documents & Attachments","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"document_status_history","MOD-15","Files, Documents & Attachments","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"activity_logs","MOD-16","Audit, Activity & Operations Logging","REJECTED_OR_MERGED","MERGED","merged","audit","","Merge into audit_logs","Avoid over-normalization while preserving the frontend aggregate contract."
"audit_logs","MOD-16","Audit, Activity & Operations Logging","P0_CORE","APPROVED","required","audit","0001_core","Implement now","Required by current frontend behavior or production boundary."
"data_change_logs","MOD-16","Audit, Activity & Operations Logging","REJECTED_OR_MERGED","MERGED","merged","audit","","Merge into audit_logs","Avoid over-normalization while preserving the frontend aggregate contract."
"error_logs","MOD-16","Audit, Activity & Operations Logging","P0_CORE","APPROVED","required","audit","0001_core","Implement now","Required by current frontend behavior or production boundary."
"api_request_logs","MOD-16","Audit, Activity & Operations Logging","P0_CORE","APPROVED","required","audit","0001_core","Implement now","Required by current frontend behavior or production boundary."
"integration_logs","MOD-16","Audit, Activity & Operations Logging","REJECTED_OR_MERGED","MERGED","merged","audit","","Merge into audit_logs","Avoid over-normalization while preserving the frontend aggregate contract."
"retention_policies","MOD-16","Audit, Activity & Operations Logging","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"demo_categories","MOD-17","Demo Sales Analytics Domain","SEED_OR_SAMPLE","DEV_ONLY","optional","development-seed","","Exclude from production","Demo data must require an explicit development flag."
"demo_products","MOD-17","Demo Sales Analytics Domain","SEED_OR_SAMPLE","DEV_ONLY","optional","development-seed","","Exclude from production","Demo data must require an explicit development flag."
"demo_regions","MOD-17","Demo Sales Analytics Domain","SEED_OR_SAMPLE","DEV_ONLY","optional","development-seed","","Exclude from production","Demo data must require an explicit development flag."
"demo_channels","MOD-17","Demo Sales Analytics Domain","SEED_OR_SAMPLE","DEV_ONLY","optional","development-seed","","Exclude from production","Demo data must require an explicit development flag."
"demo_segments","MOD-17","Demo Sales Analytics Domain","SEED_OR_SAMPLE","DEV_ONLY","optional","development-seed","","Exclude from production","Demo data must require an explicit development flag."
"demo_salespeople","MOD-17","Demo Sales Analytics Domain","SEED_OR_SAMPLE","DEV_ONLY","optional","development-seed","","Exclude from production","Demo data must require an explicit development flag."
"demo_sales_fact_rows","MOD-17","Demo Sales Analytics Domain","SEED_OR_SAMPLE","DEV_ONLY","optional","development-seed","","Exclude from production","Demo data must require an explicit development flag."
"data_quality_rules","MOD-18","Data Governance & Quality","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"data_quality_rule_assignments","MOD-18","Data Governance & Quality","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"data_quality_findings","MOD-18","Data Governance & Quality","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"sensitivity_labels","MOD-18","Data Governance & Quality","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"sensitivity_label_assignments","MOD-18","Data Governance & Quality","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"asset_certifications","MOD-18","Data Governance & Quality","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"api_clients","MOD-19","API Integration & Webhook Surface","P2_ENTERPRISE_FUTURE","DEFERRED","future","future-enterprise","","Keep as future design only","No current product workflow justifies production service/API complexity."
"webhook_endpoints","MOD-19","API Integration & Webhook Surface","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"webhook_events","MOD-19","API Integration & Webhook Surface","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
"webhook_delivery_attempts","MOD-19","API Integration & Webhook Surface","P1_PRODUCTION_EXTENSION","APPROVED_DEFERRED","planned","future-enterprise","future_p1","Design approved; migration deferred","Production extension without a required current UI workflow."
